id,headline,date
nyt://article/354f243d-6b1f-5b31-bfa0-537163673e8e,"b'Virtuosity Isolated, but Running Free '",2015-01-04
nyt://article/9d65f54c-5dda-5f36-a033-d62d13996b90,"b'Celebrating 2 Broadway Powerhouses, Bit by Bit'",2015-01-12
nyt://article/d550c1de-092d-5638-937e-e4a26af524b2,b'Opera & Classical Music Listings for Jan. 2-8',2015-01-01
nyt://article/2e696759-657c-55c5-94d9-5ac5f5d2c9a7,"b'An Age-Old Romantic Introduction, With Revitalizing Touches '",2015-01-19
nyt://article/02cf218e-aaff-585d-ade0-f522b454b922,b'Young Performers Spreading Their Wings',2015-01-23
nyt://article/2acc3dbe-bf8b-5660-906a-b87426efa14d,b'A Dark Prince Steps Into the Light ',2015-01-15
nyt://article/c5f09e7f-0749-5738-8edf-9095461097cf,b'A Princess for a Make-Believe Prince',2015-01-16
nyt://article/6b462a97-3bcd-5026-9bf6-b70c929a1fef,"b'The Perils of Odette, Retold in Brooklyn '",2015-01-16
nyt://article/990ae4e8-2ee6-53a3-9351-313a79f25725,"b'Pop, Rock & Cabaret Listings for Jan. 16-22'",2015-01-15
nyt://article/3dc21587-cb25-5a34-9e1a-8fda6b62970f,b' A Misbehaving Monk Recounts His Sins',2015-01-15
nyt://article/d7aab2a6-37ee-544a-a450-e81d3f203ecc,b'A Propulsive Leap Forward and a Nod to Late Blooms',2015-01-09
nyt://article/78edcacb-3f56-547f-9491-2b1e2eeb08bc,b'From Valiant Prince to Smoldering Rebel ',2015-01-23
nyt://article/380e61a1-3fc0-5cf5-9cf7-7022d5be6728,"b'So Nice, They Do It Twice'",2015-01-09
nyt://article/fe5450b9-e715-523a-a9dc-81923d58c98f,"b' Of a Feather, but a Flock Apart '",2015-01-09
nyt://article/3927e270-ef48-55bc-9588-8e4fa3a3ce0c,"b'Don Harron, Actor on Broadway and in \xe2\x80\x98Hee Haw,\xe2\x80\x99 Dies at 90  '",2015-01-29
nyt://article/8aad44ef-ea2d-5253-8197-03096ace924f,b'Hearing Oscar Buzz In Genre-Busting Scores ',2015-01-07
nyt://article/ce653ae0-604e-56a8-997d-33d68841797d,b' Preaching Loneliness to a Packed House',2015-01-16
nyt://article/d6a40e86-7ac4-5cd1-a6e5-34ef595e3900,b'Compelling Themes of \xe2\x80\x98Der Freisch\xc3\xbctz\xe2\x80\x99 Remain a Challenge to Stage',2015-01-22
nyt://article/1fd397e5-61f1-5b89-af2d-012d59bfee33,"b'In Los Angeles, a Crop of Art Fairs to Suit All Tastes'",2015-01-29
nyt://article/2eb6a931-12e0-5cb7-8236-81febf632882,b'Spare Times for Jan. 9-15',2015-01-08
nyt://article/24ebab90-4160-5745-82f2-4064a75613ce,b'Grand Royal Illusions',2015-01-28
nyt://article/9ae2f19d-0a11-5126-8883-62aba0f4be8c,b'Dance Listings for Jan. 30-Feb. 5',2015-01-29
nyt://article/7c9d8f74-1c15-5464-91b1-88a36e38ff37,b'Plunging Teenage Angst Deeper Into the Woods',2015-01-12
nyt://article/da6cdb38-06f7-5850-9291-eb6b833e2f77,b'Dance Listings for Jan. 23-29',2015-01-23
nyt://article/b84b29bf-fc6b-5d0f-a1bd-8da649e2972c,b'Spare Times for Children for Jan. 30-Feb. 5',2015-01-29
nyt://article/39905bb1-ebf1-5958-ba2e-0072a132c5bf,b'Fewer Trees in a Fairy-Tale Forest',2015-01-23
nyt://article/d88ecff7-af71-5fc5-9479-aebca431356b,b'Spare Times for Jan. 30-Feb. 5',2015-01-29
nyt://article/c7679eeb-1bd6-5d43-b724-617ea9f971f0,b'Dance Listings for Jan. 16-22',2015-01-15
nyt://article/ccdd60b4-aa81-57e4-a8c4-75276a496f46,b'Still Hoping a Big Gamble Pays Off',2015-01-20
nyt://article/4e07fbdd-b6fa-5b1a-8728-c65ee4fb6712,b'Dance Listings for Jan. 9-15',2015-01-08
nyt://article/c48b59f9-9e5f-5327-80d6-4ac8213c4726,b'A Multifaceted Singaporean Painter Breaks Barriers',2015-01-12
nyt://article/712a8481-5ff2-507f-98d0-0460f69a1c9c,b'Spare Times for Jan. 2-8',2015-01-01
nyt://interactive/5211c6a6-066d-5b97-9c94-59571a33c99a,b'Oscar Films for Every Personality',2015-01-18
nyt://article/295c6c9e-26b7-5190-a4f7-bb348a7a1a85,b'The Economics (and Nostalgia) of Dead Malls',2015-01-03
nyt://article/3039025e-d019-55bc-8275-09aefc4e140b,b'A Lineup of Missteps',2015-01-20
nyt://article/8ed143f1-c2aa-54cc-b5ed-6555b519b46f,b'Spare Times for Children for Jan. 2-8',2015-01-01
nyt://article/5ca8fe5d-9a88-5b8a-882c-b736bad49952,b'Spare Times for Children for Jan. 23-29',2015-01-23
nyt://article/5b18f8d0-83bb-5623-a690-cd8754f4a608,b'Theater Listings for Jan. 16-22',2015-01-15
nyt://article/ae70162e-0541-54e7-b898-4a0b0a2bc4ea,b'Theater Listings for Jan. 9-15',2015-01-08
nyt://article/524c89fe-cfc4-5e82-851d-0e2cf3e8229c,b'Theater Listings for Jan. 2-8',2015-01-01
nyt://article/84aef3da-d27b-5464-8353-97283be55b46,b'Live Coverage: Golden Globes 2015',2015-01-09
nyt://article/4887880c-9c5c-57ab-8669-548032369525,b'Theater Listings for Jan. 23-29',2015-01-22
nyt://article/421c11b2-4a0f-5ec9-8f8e-e552238d877b,b'Movie Listings for Jan. 2-8',2015-01-01
nyt://article/4926b3d1-9944-5a93-bb32-50d9c8367a74,b'Museum & Gallery Listings for Jan. 30-Feb. 5',2015-01-29
nyt://article/c2d3d3a6-316f-5fb2-bbd6-feb76c25c462,b'Museum & Gallery Listings for Jan. 16-22',2015-01-15
nyt://article/6b9c2126-a542-52ab-8433-056b6bbe9950,b'Museum & Gallery Listings for Jan. 23-29',2015-01-23
nyt://article/9fd8d551-ea0b-56c3-985e-cf054e10faef,b'Museum & Gallery Listings for Jan. 9-15',2015-01-08
nyt://article/46e68a64-9e70-5c44-bd15-14171ec10036,b'Museum & Gallery Listings for Jan. 2-8',2015-01-01
