id,headline,date
nyt://article/934578b3-022c-5ad5-924e-e26443855a81,"b'Back Home, House Democrats Tread Carefully on Impeachment and 2020'",2019-09-29
nyt://article/3acffec6-0f1e-5d4a-ab8d-da16bd1fdbb5,"b'House Subpoenas Giuliani, Trump\xe2\x80\x99s Lawyer, for Ukraine Records'",2019-09-30
nyt://article/d5844bfa-4956-5f3e-b108-8e8a4117f261,b'Pelosi Pushes for Simple Message on Impeachment as Inquiry Barrels Ahead',2019-09-30
nyt://article/1e20a0c7-5d5f-5d57-8c0b-029b20062210,b'How a Shadow Foreign Policy in Ukraine Prompted an Impeachment Inquiry',2019-09-28
nyt://article/a3461024-c496-57d5-95d3-f2a15f7d0650,"b'As Democrats Move Toward Impeachment, a Small Group Holds Back'",2019-09-30
nyt://article/994f55ee-cd3b-57a1-9933-ea43eae82621,b'Mark Amodei Is First House Republican to Support Trump Impeachment Inquiry',2019-09-28
nyt://article/e2e49fb8-2251-51b6-b78e-7164939b7a97,"b'AP FACT CHECK: Trump Mistruths on Ukraine, Impeachment Fight'",2019-09-30
nyt://interactive/e40a36e9-8b34-5462-b473-4a5dbdaf71ce,b'Impeaching the Peach One',2019-09-28
nyt://article/d0c0bf0a-e607-5396-af6c-5b805897ac97,b'Note to the Impeachment Investigators: Trump Rarely Acts Alone',2019-09-29
nyt://article/68568410-2527-565a-ad8b-3318dbe4c384,"b'Impeachment, Polls and Debates: This Week in the 2020 Race'",2019-09-28
nyt://article/9b42053d-99f6-5297-bdec-6a032e5457c8,b'Impeachment Battle to Turn for First Time on a President\xe2\x80\x99s Ties to a Foreign Country',2019-09-28
nyt://article/f1f8b13a-cb6e-54cb-b65c-6afde4709d60,"b'Democrats\xe2\x80\x99 2020 Campaign Message: Not Impeachment, They Insist'",2019-09-28
nyt://article/955cd63f-cf7c-583a-8aee-70d45a999acb,b'Trump Seeks Whistle-Blower\xe2\x80\x99s Identity',2019-09-30
nyt://article/e056214e-0fa0-51b7-8d90-b8c1bbdbfbd3,b'Trump Was Repeatedly Warned That Ukraine Conspiracy Theory Was \xe2\x80\x98Completely Debunked\xe2\x80\x99',2019-09-29
nyt://article/3a516d96-00a6-54c9-b017-037d1ec31a9c,b'Biden Campaign Urges TV Networks to Stop Booking Giuliani',2019-09-29
nyt://article/47928c5c-6ba0-5849-8276-07331d6dd43f,b'Republican Mark Amodei Tiptoes Around Impeachment Inquiry',2019-09-29
nyt://article/75052025-aff0-5265-a94d-b05b31fffa54,b'Impeaching Trump: Why One N.Y.C. House Democrat Is a Holdout',2019-09-30
nyt://article/9d983d95-ec64-5740-9236-ac999df8a7fd,b'Giuliani Backs Out of Kremlin-Supported Conference in Armenia',2019-09-28
nyt://article/9cbfe015-b2f7-563b-8056-5afc23d23c85,b'How the Whistle-Blower Complaint Almost Didn\xe2\x80\x99t Happen',2019-09-30
nyt://article/0e3c991e-c1d1-52a3-b425-4f43a93a188e,b'This Week in Business: The Economics of Impeachment',2019-09-29
nyt://article/83a21d68-056e-5805-af18-89d3b1cc4521,"b""What's Next as House Committees Launch Impeachment Probes""",2019-09-28
nyt://article/93426e47-9c9d-5f83-9f3e-33a2a4b615c6,"b'The Latest: Pompeo Was on Trump-Ukraine Call, Officials Say'",2019-09-30
nyt://article/59f4d202-7648-55b0-b2d4-6f0fc16ccdf5,"b""What's Next as House Committees Launch Impeachment Probes""",2019-09-29
nyt://article/f53fdf61-acce-5820-a248-f8759ff6901d,"b'When Trump\xe2\x80\x99s Envoy for Ukraine Resigned, a College Journalist Had the Scoop'",2019-09-28
nyt://article/e213c1f9-8794-5bac-92a9-314c0352b79d,b'Giuliani Faces Subpoena for Documents in Impeachment Probe',2019-09-30
nyt://article/fdc0d3c7-7083-55cb-9f77-ae2b1a4352ff,"b'With Sanctions on Russians, U.S. Warns Against Foreign Election Meddling'",2019-09-30
